chunk_id,video_id,skill_id,text_preview,gemini_relevance,gemini_depth,gemini_clarity,gemini_examples,human_relevance,human_depth,human_clarity,human_examples,,reasoning
318,IA3WxTTPXqQ,tensorflow_image_classification,"now, as a quick note, you may decide to say no negative is for parasitized and positive is for uninf...",3,2,3,2,3,2,3,1,,"slightly poor audio, some ""ums"", no code examples, no explanation of terms"
12,JCuVUUa1V7k,tensorflow_image_classification,it in a really cool way where um we take just kind of key statistical properties of your data set an...,1,2,3,1,3,1,2,2,,"he lost train of thought here, and this is a stream so it isnt edited to cut out unnecessary parts. this specific chunk was not necessary to the skill. "
22,I7DZP4rVQOU,pandas_data_cleaning,let's see for the exel one i'm going to say data to exel for saving this to exel file like clean let...,1,1,2,1,3,4,4,5,,"he had very good live demo with real data, and no ""ums"" , clearly rehearsed. "
28,REdEQdmvMa0,pandas_data_cleaning,mmd came to drop like a go and and go to bed good night mmd you can also see how many videos channel...,4,3,2,4,1,2,1,2,,completely off topic.
300,V_xro1bcAuA,pytorch_neural_networks,"welcome back. so in the last video, we built a pytorch linear model, nice and simple using a single ...",4,3,3,3,4,2,5,1,,great teaching; this specific chunk is introductory so it doesnt get into deeper stuff. but it does later on in the video. 
177,V_xro1bcAuA,pytorch_neural_networks,so we're going to create 40 samples of x and 40 samples of y. our model will train on those 40 sampl...,3,3,3,3,5,5,5,5,,outstanding. I subscribed. 
205,hDKCxebp88A,sklearn_model_training,and one of the primary reasons for that is interpretability of these models. so we will also talk ab...,2,1,3,1,3,2,5,3,,great. 
5,wpQiEHYkBys,model_evaluation_metrics,these are actually numbers which you can compare and you can get them easily from scikit-learn dot m...,5,5,4,3,3,3,4,3,,-
641,IA3WxTTPXqQ,tensorflow_image_classification,to this next one here the highest here is this and it matches with the second so we have a one so th...,5,3,3,4,2,4,3,4,,
372,hDKCxebp88A,sklearn_model_training,"here's one other thing you can try a quick hand coded strategy. where, and this is where you may be,...",2,2,3,2,3,4,3,3,,
191,V_xro1bcAuA,pytorch_neural_networks,"i might just say oop for now. what i've done since last video, though, is i've added two resources h...",2,2,3,2,2,2,3,2,,
37,SyeQhJF4ny0,matplotlib_visualization,show and let's run it again okay great now let's see what all things we can mention over here suppos...,5,4,3,4,4,4,3,4,,
18,SyeQhJF4ny0,matplotlib_visualization,png present and if i open it you can see it looks like this right you can play around with it more i...,5,4,3,3,5,4,3,2,,
59,hDKCxebp88A,sklearn_model_training,"that's how you do linear regression using scikit-learn. you use the linear regression class, then yo...",2,2,3,1,3,2,3,1,,
23,ccukQiz2X5o,sklearn_model_training,fi and inside this i'll be passing the features and the response that is my x and y then once your t...,5,4,3,3,5,4,3,3,,
2,6NaxGOxThYY,tensorflow_image_classification,let's see here so what i have done is i have provided the directory path which is inside my data set...,5,4,3,4,5,4,3,4,,
111,IA3WxTTPXqQ,tensorflow_image_classification,negative 1 5 2 that's it 1 2 1 stacked with negative 1 5 2 so let's go back to when we had c1 right ...,2,3,2,3,3,3,3,3,,
7,9XcvvNFWeI0,numpy_array_manipulation,dot product of this row with this column and because b in this hypothetical has four elements it wou...,4,5,3,2,3,4,3,2,,
353,V_xro1bcAuA,pytorch_neural_networks,construct a model. and we're going to go by subclassing and then dot module. now we saw this in the ...,3,3,3,3,3,3,3,3,,
101,FN78JowwpSY,matplotlib_visualization,that since standard deviation is something that we have studied i have just mentioned here okay uh d...,2,2,2,1,2,2,2,1,,
312,Z_ikDlimN6A,pytorch_neural_networks,saave and as you might guess this allows you to save uh pytorch object in python's pickle format so ...,4,3,3,2,3,4,3,3,,
77,r-uOLxNrNk8,matplotlib_visualization,"but the idea is that there is an index here, zero, this is one, and this is two, right? in the pendo...",1,1,3,1,2,2,3,1,,
35,VMj-3S1tku0,pytorch_neural_networks,simple so those are the derivatives of these internal nodes and now we're going to recurse our way b...,4,5,4,3,5,5,4,3,,
51,Kjo1xuKgGIM,feature_engineering,so first for example uh if you want to search match or find this pan for example there is a text uh ...,3,2,2,3,3,2,2,3,,
50,ZAaNMWDi8Ds,feature_engineering,data set at hand right so i've just told you about the data set i think it's high time we actually t...,2,2,3,3,2,2,3,3,,
37,M9Itm95JzL0,sklearn_model_training,and i guess yeah okay so let's give a little length and negative and now what we're gonna do is our ...,2,2,3,3,2,2,3,3,,
681,Z_ikDlimN6A,pytorch_neural_networks,now to see the this visually i've got a slide prepared for this so this is what we're going to be wo...,3,2,3,1,2,3,3,2,,
11,Fa_V9fP2tpU,feature_engineering,the model will perform on new unseen data cross validation extends this concept by repeatedly traini...,2,2,4,2,3,2,4,2,,
16,Fn1Hpt70K4g,feature_engineering,actually apply different gaussian filters on the same image and to find uh and then to find out the ...,4,5,2,1,3,5,1,1,,
679,V_xro1bcAuA,pytorch_neural_networks,test image through current type at the moment through conv and max pool. so quite a long variable na...,4,3,3,3,4,3,3,3,,
1,zY4Hu998lFE,feature_engineering,um marcos aaron serbia will be our speaker today and helping us with our mission to help people see ...,1,1,3,1,1,1,2,1,,
27,8zrnT1693_4,sklearn_model_training,i want to augment it so basically i turn it into a data set that contains thousands of data points o...,1,3,3,4,2,3,3,4,,
7,VtRLrQ3Ev-U,tensorflow_image_classification,so we would know that this picture is associated with a cat this picture is associated with a dog an...,2,2,4,2,2,2,4,2,,
2,iaZQF8SLHJs,pandas_data_cleaning,uh that way they show up as null and we can transform this data show you a little bit later it's kin...,2,1,3,1,1,1,3,1,,
67,gtjxAH8uaP0,pandas_data_cleaning,"it worked. so far, so good. we have our product of different company names so we can do a little bit...",4,3,3,4,3,3,3,4,,
18,tHL5STNJKag,pytorch_neural_networks,now if you're impatient like me you'd like to see a progress bar as the training's going on so let's...,3,2,3,3,3,3,3,3,,
796,Z_ikDlimN6A,pytorch_neural_networks,new layers that we haven't seen before com 2d and max pool 2d but they all have the same sort of pre...,4,3,4,2,3,3,4,2,,
448,Z_ikDlimN6A,pytorch_neural_networks,million different parameters here so we've got a loss function we've got an optimizer and how about ...,4,3,4,4,3,3,4,4,,
7,OEzg2WwlDcg,pandas_data_cleaning,printed the data frame okay let's say i'll place 111 instead in place of all the null values so null...,5,3,3,3,4,4,4,3,,
9,a0bw8EeAxc8,feature_engineering,could be um countries it could be etc but you can perform future engineering techniques more specifi...,2,2,2,1,2,2,1,2,,
44,4G5EO9fXj_c,tensorflow_image_classification,using embeddings so we have some cool way to monitor that you can also use this for images so again ...,2,2,3,1,3,3,3,1,,
10,29ZQ3TDGgRQ,sklearn_model_training,xtrain to be the data because we want to make the prediction here on the x strain so essentially we'...,5,3,3,4,4,3,3,4,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,3,,,,,,
,,,,,,1,1,,,,,,
,,,,,,3,4,,,,,,
,,,,,,3,2,,,,,,
,,,,,,4,2,,,,,,
,,,,,,3,4,,,,,,
,,,,,,3,1,,,,,,
,,,,,,4,3,,,,,,
,,,,,,4,4,,,,,,
,,,,,,5,1,,,,,,
,,,,,,2,3,,,,,,
,,,,,,3,3,,,,,,
,,,,,,4,3,,,,,,
,,,,,,3,4,,,,,,
,,,,,,3,1,,,,,,
,,,,,,3,1,,,,,,
,,,,,,4,4,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,2,,,,,,
,,,,,,1,1,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,4,,,,,,
,,,,,,3,1,,,,,,
,,,,,,4,3,,,,,,
,,,,,,3,2,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,2,,,,,,
,,,,,,4,3,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,3,,,,,,
,,,,,,2,4,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,2,,,,,,
,,,,,,3,1,,,,,,
,,,,,,1,2,,,,,,
,,,,,,4,1,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,2,,,,,,
,,,,,,3,4,,,,,,
,,,,,,3,4,,,,,,
,,,,,,4,2,,,,,,
,,,,,,3,1,,,,,,
,,,,,,3,1,,,,,,
,,,,,,2,3,,,,,,
,,,,,,4,4,,,,,,
,,,,,,4,2,,,,,,
,,,,,,3,1,,,,,,
,,,,,,3,2,,,,,,
,,,,,,3,5,,,,,,
,,,,,,3,3,,,,,,
,,,,,,4,4,,,,,,
,,,,,,4,2,,,,,,
,,,,,,3,1,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,1,,,,,,
,,,,,,2,3,,,,,,
,,,,,,3,2,,,,,,
,,,,,,4,2,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,1,,,,,,
,,,,,,3,1,,,,,,
,,,,,,4,4,,,,,,
,,,,,,4,4,,,,,,
,,,,,,2,3,,,,,,
,,,,,,3,3,,,,,,
,,,,,,4,4,,,,,,
,,,,,,2,3,,,,,,
,,,,,,3,1,,,,,,
,,,,,,3,1,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,4,,,,,,
,,,,,,3,1,,,,,,
,,,,,,3,3,,,,,,
,,,,,,2,1,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,1,,,,,,
,,,,,,3,4,,,,,,
,,,,,,4,3,,,,,,
,,,,,,3,4,,,,,,
,,,,,,4,4,,,,,,
,,,,,,2,3,,,,,,
,,,,,,3,2,,,,,,
,,,,,,3,1,,,,,,
,,,,,,3,3,,,,,,
,,,,,,3,2,,,,,,
,,,,,,2,3,,,,,,